,timestamp,activity_name,msg_id,field,resource,event_id
0,2023-05-16T10:27:08.918+0100,takeoff,,f4,drone,e0
1,2023-05-16T10:27:09.972+0100,explore,,f4,drone,e2
2,2023-05-16T10:27:26.055+0100,weed_found,,f4,drone,e4
3,2023-05-16T10:27:36.079+0100,weed_position!,m_1,f4,drone,e6
4,2023-05-16T10:27:56.079+0100,weed_position!,m_1,f4,drone,e8
5,2023-05-16T10:28:16.079+0100,weed_position!,m_1,f4,drone,e10
6,2023-05-16T10:28:16.094+0100,weed_position?,m_1,f4,tractor_1,e11
7,2023-05-16T10:28:16.095+0100,weed_position?,m_1,f4,tractor_2,e12
8,2023-05-16T10:28:26.102+0100,tractor_position!,m_2,f4,tractor_1,e16
9,2023-05-16T10:28:26.116+0100,tractor_position?,m_2,f4,drone,e17
10,2023-05-16T10:28:26.162+0100,tractor_position!,m_3,f4,tractor_2,e20
11,2023-05-16T10:28:26.173+0100,tractor_position?,m_3,f4,drone,e21
12,2023-05-16T10:28:26.221+0100,select_closest_tractor,,f4,drone,e24
13,2023-05-16T10:28:26.242+0100,select_closest_tractor,m_4,f4,drone,e26
14,2023-05-16T10:28:26.254+0100,closest_tractor!,m_4,f4,drone,e27
15,2023-05-16T10:28:26.260+0100,closest_tractor?,m_4,f4,tractor_1,e28
16,2023-05-16T10:28:26.265+0100,explore,,f4,drone,e30
17,2023-05-16T10:28:26.277+0100,closest_tractor?,m_4,f4,tractor_2,e32
18,2023-05-16T10:28:26.280+0100,move,,f4,tractor_2,e33
19,2023-05-16T10:28:26.329+0100,cut_grass,,f4,tractor_2,e36
20,2023-05-16T10:28:34.338+0100,weed_found,,f4,drone,e39
21,2023-05-16T10:28:44.368+0100,weed_position!,m_5,f4,drone,e41
22,2023-05-16T10:29:04.368+0100,weed_position!,m_5,f4,drone,e43
23,2023-05-16T10:29:24.368+0100,weed_position!,m_5,f4,drone,e45
24,2023-05-16T10:29:24.388+0100,weed_position?,m_5,f4,tractor_1,e46
25,2023-05-16T10:29:34.391+0100,tractor_position!,m_6,f4,tractor_1,e49
26,2023-05-16T10:29:34.408+0100,tractor_position?,m_6,f4,drone,e50
27,2023-05-16T10:29:34.460+0100,select_closest_tractor,,f4,drone,e53
28,2023-05-16T10:29:34.483+0100,select_closest_tractor,m_7,f4,drone,e55
29,2023-05-16T10:29:34.493+0100,closest_tractor!,m_7,f4,drone,e56
30,2023-05-16T10:29:34.501+0100,closest_tractor?,m_7,f4,tractor_1,e57
31,2023-05-16T10:29:34.505+0100,explore,,f4,drone,e58
32,2023-05-16T10:29:34.506+0100,closest_tractor?,m_7,f4,tractor_2,e60
33,2023-05-16T10:29:34.513+0100,move,,f4,tractor_2,e62
34,2023-05-16T10:29:34.556+0100,cut_grass,,f4,tractor_2,e65
35,2023-05-16T10:29:50.611+0100,weed_found,,f4,drone,e68
36,2023-05-16T10:30:00.651+0100,weed_position!,m_8,f4,drone,e70
37,2023-05-16T10:30:20.651+0100,weed_position!,m_8,f4,drone,e72
38,2023-05-16T10:30:20.668+0100,weed_position?,m_8,f4,tractor_1,e73
39,2023-05-16T10:30:20.670+0100,weed_position?,m_8,f4,tractor_2,e74
40,2023-05-16T10:30:30.660+0100,tractor_position!,m_9,f4,tractor_1,e78
41,2023-05-16T10:30:30.674+0100,tractor_position?,m_9,f4,drone,e79
42,2023-05-16T10:30:30.721+0100,tractor_position!,m_10,f4,tractor_2,e82
43,2023-05-16T10:30:30.732+0100,tractor_position?,m_10,f4,drone,e83
44,2023-05-16T10:30:30.780+0100,select_closest_tractor,,f4,drone,e86
45,2023-05-16T10:30:30.803+0100,select_closest_tractor,m_11,f4,drone,e88
46,2023-05-16T10:30:30.813+0100,closest_tractor!,m_11,f4,drone,e89
47,2023-05-16T10:30:30.823+0100,explore,,f4,drone,e91
48,2023-05-16T10:30:30.824+0100,closest_tractor?,m_11,f4,tractor_2,e92
49,2023-05-16T10:30:30.833+0100,closest_tractor?,m_11,f4,tractor_1,e93
50,2023-05-16T10:30:30.844+0100,move,,f4,tractor_2,e95
