time,activity,lifecycle,msg_id,msg_payload,msg_role,x,y,z,field,robot,event_id
2023-05-16T10:27:08.918+0100,takeoff,start,,,,0.0,4.908.918.857.077.570,0.0,f4,drone,e0
2023-05-16T10:27:09.972+0100,explore,start,,,,0.0,4.908.918.857.077.570,14.400.898.301.778.300,f4,drone,e2
2023-05-16T10:27:26.055+0100,weed_found,start,,,,11.903.214.526.778.800,6.278.701.963.387.160,14.400.898.301.778.300,f4,drone,e4
2023-05-16T10:27:36.079+0100,weed_position!,start,m_1,{weed: {x:1.1903214526778898; y: 6.278701963387165} },send,11.903.214.526.778.800,6.278.701.963.387.160,14.400.898.301.778.300,f4,drone,e6
2023-05-16T10:27:56.079+0100,weed_position!,start,m_1,{weed: {x:1.1903214526778898; y: 6.278701963387165} },send,11.903.214.526.778.800,6.278.701.963.387.160,14.400.898.301.778.300,f4,drone,e8
2023-05-16T10:28:16.079+0100,weed_position!,start,m_1,{weed: {x:1.1903214526778898; y: 6.278701963387165} },send,11.903.214.526.778.800,6.278.701.963.387.160,14.400.898.301.778.300,f4,drone,e10
2023-05-16T10:28:16.094+0100,weed_position?,start,m_1,{weed: {x:1.1903214526778898; y: 6.278701963387165} },receive,0.0,0.0,0.0,f4,tractor_1,e11
2023-05-16T10:28:16.095+0100,weed_position?,start,m_1,{weed: {x:1.1903214526778898; y: 6.278701963387165} },receive,0.0,0.0,0.0,f4,tractor_2,e12
2023-05-16T10:28:26.102+0100,tractor_position!,start,m_2,{ header: tractor_1; position: {x:0; y: 0} },send,0.0,0.0,0.0,f4,tractor_1,e16
2023-05-16T10:28:26.116+0100,tractor_position?,start,m_2,{ header: tractor_1; position: {x:0; y: 0} },receive,11.903.214.526.778.800,6.278.701.963.387.160,14.400.898.301.778.300,f4,drone,e17
2023-05-16T10:28:26.162+0100,tractor_position!,start,m_3,{ header: tractor_2; position: {x:1; y: 0} },send,0.0,0.0,0.0,f4,tractor_2,e20
2023-05-16T10:28:26.173+0100,tractor_position?,start,m_3,{ header: tractor_2; position: {x:1; y: 0} },receive,11.903.214.526.778.800,6.278.701.963.387.160,14.400.898.301.778.300,f4,drone,e21
2023-05-16T10:28:26.221+0100,select_closest_tractor,start,,,,11.903.214.526.778.800,6.278.701.963.387.160,14.400.898.301.778.300,f4,drone,e24
2023-05-16T10:28:26.242+0100,select_closest_tractor,start,m_4,{ name: tractor_2 },send,11.903.214.526.778.800,6.278.701.963.387.160,14.400.898.301.778.300,f4,drone,e26
2023-05-16T10:28:26.254+0100,closest_tractor!,start,m_4,{ name: tractor_2 },send,11.903.214.526.778.800,6.278.701.963.387.160,14.400.898.301.778.300,f4,drone,e27
2023-05-16T10:28:26.260+0100,closest_tractor?,start,m_4,{ name: tractor_2 },receive,0.0,0.0,0.0,f4,tractor_1,e28
2023-05-16T10:28:26.265+0100,explore,start,,,,11.903.214.526.778.800,6.278.701.963.387.160,14.403.499.336.826.100,f4,drone,e30
2023-05-16T10:28:26.277+0100,closest_tractor?,start,m_4,{ name: tractor_2 },receive,1.0,0.0,0.0,f4,tractor_2,e32
2023-05-16T10:28:26.280+0100,move,start,,,,1.0,0.0,0.0,f4,tractor_2,e33
2023-05-16T10:28:26.329+0100,cut_grass,start,,,,11.903.214.526.778.800,6.278.701.963.387.160,0.0,f4,tractor_2,e36
2023-05-16T10:28:34.338+0100,weed_found,start,,,,32.638.613.250.213.800,6.807.868.671.440.990,14.403.499.336.826.100,f4,drone,e39
2023-05-16T10:28:44.368+0100,weed_position!,start,m_5,{weed: {x:3.2638613250213857; y: 6.807868671440992} },send,32.638.613.250.213.800,6.807.868.671.440.990,14.403.499.336.826.100,f4,drone,e41
2023-05-16T10:29:04.368+0100,weed_position!,start,m_5,{weed: {x:3.2638613250213857; y: 6.807868671440992} },send,32.638.613.250.213.800,6.807.868.671.440.990,14.403.499.336.826.100,f4,drone,e43
2023-05-16T10:29:24.368+0100,weed_position!,start,m_5,{weed: {x:3.2638613250213857; y: 6.807868671440992} },send,32.638.613.250.213.800,6.807.868.671.440.990,14.403.499.336.826.100,f4,drone,e45
2023-05-16T10:29:24.388+0100,weed_position?,start,m_5,{weed: {x:3.2638613250213857; y: 6.807868671440992} },receive,0.0,0.0,0.0,f4,tractor_1,e46
2023-05-16T10:29:34.391+0100,tractor_position!,start,m_6,{ header: tractor_1; position: {x:0; y: 0} },send,0.0,0.0,0.0,f4,tractor_1,e49
2023-05-16T10:29:34.408+0100,tractor_position?,start,m_6,{ header: tractor_1; position: {x:0; y: 0} },receive,32.638.613.250.213.800,6.807.868.671.440.990,14.403.499.336.826.100,f4,drone,e50
2023-05-16T10:29:34.460+0100,select_closest_tractor,start,,,,32.638.613.250.213.800,6.807.868.671.440.990,14.403.499.336.826.100,f4,drone,e53
2023-05-16T10:29:34.483+0100,select_closest_tractor,start,m_7,{ name: tractor_1 },send,32.638.613.250.213.800,6.807.868.671.440.990,14.403.499.336.826.100,f4,drone,e55
2023-05-16T10:29:34.493+0100,closest_tractor!,start,m_7,{ name: tractor_1 },send,32.638.613.250.213.800,6.807.868.671.440.990,14.403.499.336.826.100,f4,drone,e56
2023-05-16T10:29:34.501+0100,closest_tractor?,start,m_7,{ name: tractor_1 },receive,0.0,0.0,0.0,f4,tractor_1,e57
2023-05-16T10:29:34.505+0100,explore,start,,,,32.638.613.250.213.800,6.807.868.671.440.990,1.480.761.688.053.440,f4,drone,e58
2023-05-16T10:29:34.506+0100,closest_tractor?,start,m_7,{ name: tractor_1 },receive,1.0,0.0,0.0,f4,tractor_2,e60
2023-05-16T10:29:34.513+0100,move,start,,,,0.0,0.0,0.0,f4,tractor_1,e62
2023-05-16T10:29:34.556+0100,cut_grass,start,,,,32.638.613.250.213.800,6.807.868.671.440.990,0.0,f4,tractor_1,e65
2023-05-16T10:29:50.611+0100,weed_found,start,,,,5.406.261.163.097.670,7.496.272.893.566.860,1.480.761.688.053.440,f4,drone,e68
2023-05-16T10:30:00.651+0100,weed_position!,start,m_8,{weed: {x:5.406261163097678; y: 7.496272893566861} },send,5.406.261.163.097.670,7.496.272.893.566.860,1.480.761.688.053.440,f4,drone,e70
2023-05-16T10:30:20.651+0100,weed_position!,start,m_8,{weed: {x:5.406261163097678; y: 7.496272893566861} },send,5.406.261.163.097.670,7.496.272.893.566.860,1.480.761.688.053.440,f4,drone,e72
2023-05-16T10:30:20.668+0100,weed_position?,start,m_8,{weed: {x:5.406261163097678; y: 7.496272893566861} },receive,0.0,0.0,0.0,f4,tractor_1,e73
2023-05-16T10:30:20.670+0100,weed_position?,start,m_8,{weed: {x:5.406261163097678; y: 7.496272893566861} },receive,1.0,0.0,0.0,f4,tractor_2,e74
2023-05-16T10:30:30.660+0100,tractor_position!,start,m_9,{ header: tractor_1; position: {x:3.2638613250213857; y: 6.807868671440992} },send,0.0,0.0,0.0,f4,tractor_1,e78
2023-05-16T10:30:30.674+0100,tractor_position?,start,m_9,{ header: tractor_1; position: {x:3.2638613250213857; y: 6.807868671440992} },receive,5.406.261.163.097.670,7.496.272.893.566.860,1.480.761.688.053.440,f4,drone,e79
2023-05-16T10:30:30.721+0100,tractor_position!,start,m_10,{ header: tractor_2; position: {x:1.1903214526778898; y: 6.278701963387165} },send,1.0,0.0,0.0,f4,tractor_2,e82
